2023-08-18 06:45:59,110 INFO  c.c.e.ErsentinelSpringbootApplication - Starting ErsentinelSpringbootApplication using Java 17.0.4.1 with PID 61649 (/Users/alex/Library/CloudStorage/OneDrive-dongguk.edu/AssignmentProject/Project/securecode10th/ersentinel_springboot/build/classes/java/main started by alex in /Users/alex/Library/CloudStorage/OneDrive-dongguk.edu/AssignmentProject/Project/securecode10th)
2023-08-18 06:45:59,111 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:45:59,111 INFO  c.c.e.component.MariaDBAppender - [getlog]Starting ErsentinelSpringbootApplication using Java 17.0.4.1 with PID 61649 (/Users/alex/Library/CloudStorage/OneDrive-dongguk.edu/AssignmentProject/Project/securecode10th/ersentinel_springboot/build/classes/java/main started by alex in /Users/alex/Library/CloudStorage/OneDrive-dongguk.edu/AssignmentProject/Project/securecode10th)
2023-08-18 06:45:59,112 INFO  c.c.e.ErsentinelSpringbootApplication - No active profile set, falling back to 1 default profile: "default"
2023-08-18 06:45:59,112 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:45:59,112 INFO  c.c.e.component.MariaDBAppender - [getlog]No active profile set, falling back to 1 default profile: "default"
2023-08-18 06:45:59,525 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-08-18 06:45:59,525 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:45:59,525 INFO  c.c.e.component.MariaDBAppender - [getlog]Multiple Spring Data modules found, entering strict repository configuration mode
2023-08-18 06:45:59,526 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-08-18 06:45:59,526 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:45:59,526 INFO  c.c.e.component.MariaDBAppender - [getlog]Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-08-18 06:45:59,619 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 89 ms. Found 8 JPA repository interfaces.
2023-08-18 06:45:59,619 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:45:59,619 INFO  c.c.e.component.MariaDBAppender - [getlog]Finished Spring Data repository scanning in 89 ms. Found 8 JPA repository interfaces.
2023-08-18 06:45:59,963 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-08-18 06:45:59,963 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:45:59,963 INFO  c.c.e.component.MariaDBAppender - [getlog]Tomcat initialized with port(s): 8080 (http)
2023-08-18 06:45:59,967 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-08-18 06:45:59,967 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:45:59,967 INFO  c.c.e.component.MariaDBAppender - [getlog]Initializing ProtocolHandler ["http-nio-8080"]
2023-08-18 06:45:59,968 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-08-18 06:45:59,968 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:45:59,969 INFO  c.c.e.component.MariaDBAppender - [getlog]Starting service [Tomcat]
2023-08-18 06:45:59,969 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.11]
2023-08-18 06:45:59,969 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:45:59,969 INFO  c.c.e.component.MariaDBAppender - [getlog]Starting Servlet engine: [Apache Tomcat/10.1.11]
